date,id,source,title,price,url
2026-06-10,cl-7937269874,craigslist,2002 Striper Fishing boat,48000,https://sandiego.craigslist.org/ssd/boa/d/marina-del-rey-2002-striper-fishing-boat/7937269874.html
2026-06-10,cl-7920668174,craigslist,Farallon 27 Whaleback Project,40000,https://sandiego.craigslist.org/csd/boa/d/san-diego-farallon-27-whaleback-project/7920668174.html
2026-06-10,cl-7939722168,craigslist,2009 Pursuit C 250 Center Console w/twin Yamaha F150,54900,https://sandiego.craigslist.org/csd/bod/d/san-diego-2009-pursuit-250-center/7939722168.html
2026-06-10,cl-7939659710,craigslist,1998 Bayliner Trophy 26ft,14500,https://sandiego.craigslist.org/csd/boa/d/alpine-1998-bayliner-trophy-26ft/7939659710.html
2026-06-10,cl-7919105569,craigslist,1996 Bayliner Trophy 2352,29950,https://sandiego.craigslist.org/nsd/boa/d/oceanside-1996-bayliner-trophy-2352/7919105569.html
2026-06-10,cl-7938447370,craigslist,2001 Seaswirl Striper 2301,15900,https://sandiego.craigslist.org/esd/boa/d/jamul-2001-seaswirl-striper-2301/7938447370.html
2026-06-10,cl-7913591428,craigslist,Grady White,43500,https://sandiego.craigslist.org/esd/boa/d/jamul-grady-white/7913591428.html
2026-06-10,cl-7939512761,craigslist,1998 21' Boston Whaler Conquest,45000,https://sandiego.craigslist.org/csd/boa/d/san-diego-boston-whaler-conquest/7939512761.html
2026-06-10,cl-7938532151,craigslist,2006 Trophy Hardtop Diesel,35000,https://sandiego.craigslist.org/nsd/boa/d/carlsbad-2006-trophy-hardtop-diesel/7938532151.html
2026-06-10,cl-7939245604,craigslist,2003 Seaswirl Striper 2601,33000,https://sandiego.craigslist.org/nsd/boa/d/carlsbad-2003-seaswirl-striper-2601/7939245604.html
2026-06-10,cl-7923943547,craigslist,"1991 Mako 286 side console, twin diesels (project)",13000,https://sandiego.craigslist.org/ssd/boa/d/newport-beach-1991-mako-286-side/7923943547.html
2026-06-10,cl-7937993268,craigslist,23' Sea Ox Walkaround Cuddy - Honda BF225 - Simrad,17500,https://sandiego.craigslist.org/nsd/boa/d/oceanside-23-sea-ox-walkaround-cuddy/7937993268.html
